Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,surge,heave,pitch
0.200041,-0.00464,-0.004879,-0.003495,-0.004946,-0.004976,-0.005023,-0.0049,-0.004156,-0.004825,-0.001998,-0.00501,-0.004936,-0.00447,-0.005009,-0.004956,-0.000434,0.0000431,0.035206853
0.208001,-0.004948,-0.005102,-0.003699,-0.005089,-0.005057,-0.005037,-0.005013,-0.004423,-0.0051,-0.002086,-0.005034,-0.005109,-0.004756,-0.005054,-0.005068,-0.000381,0.0000581,0.042821418
0.216032,-0.005232,-0.005442,-0.003943,-0.005444,-0.00544,-0.005373,-0.005241,-0.004701,-0.005417,-0.002204,-0.005415,-0.00546,-0.005031,-0.005334,-0.00544,-0.000514,0.0000528,0.04502112
0.224064,-0.005362,-0.005644,-0.004009,-0.005722,-0.005731,-0.00572,-0.005569,-0.004795,-0.005572,-0.002251,-0.005719,-0.005699,-0.00515,-0.005684,-0.005733,-0.000727,0.0000405,0.041632689
0.232013,-0.005602,-0.005955,-0.004156,-0.006051,-0.006098,-0.0061,-0.006,-0.004976,-0.005873,-0.002344,-0.006109,-0.006017,-0.005364,-0.006084,-0.006077,-0.000689,0.0000368,0.041955604
0.240048,-0.005966,-0.006233,-0.004467,-0.006275,-0.006309,-0.006335,-0.006244,-0.005349,-0.006184,-0.002495,-0.006339,-0.006263,-0.005733,-0.006311,-0.006291,-0.000548,0.0000503,0.050797106
0.248006,-0.006291,-0.00653,-0.004665,-0.006545,-0.006493,-0.006469,-0.006419,-0.005627,-0.006497,-0.002592,-0.006461,-0.006552,-0.006042,-0.006482,-0.006523,-0.000498,0.0000754,0.064821626
0.256046,-0.006488,-0.006836,-0.004794,-0.006858,-0.006862,-0.006814,-0.006709,-0.005769,-0.006763,-0.002666,-0.006839,-0.006866,-0.006206,-0.006797,-0.006859,-0.000623,0.0000566,0.058479299
0.264015,-0.006705,-0.007094,-0.004976,-0.007172,-0.007229,-0.007226,-0.0071,-0.005978,-0.007,-0.00276,-0.007241,-0.007154,-0.006422,-0.007193,-0.007197,-0.000851,0.0000476,0.058262014
0.272034,-0.007014,-0.007398,-0.005142,-0.007528,-0.007555,-0.007558,-0.007469,-0.006227,-0.007302,-0.002843,-0.007553,-0.007483,-0.006714,-0.007545,-0.007549,-0.00082,0.0000582,0.068339224
0.280031,-0.007294,-0.007645,-0.005363,-0.007669,-0.007689,-0.007705,-0.007652,-0.006493,-0.007585,-0.00296,-0.007688,-0.007668,-0.006986,-0.007694,-0.00768,-0.000635,0.0000674,0.076287054
0.288048,-0.007664,-0.008076,-0.00563,-0.008065,-0.008048,-0.008021,-0.007988,-0.00683,-0.007993,-0.003087,-0.008023,-0.008093,-0.007341,-0.00802,-0.008051,-0.000554,0.0000832,0.08944221
0.296022,-0.007957,-0.008391,-0.005772,-0.008497,-0.008516,-0.008475,-0.008404,-0.007038,-0.008278,-0.003141,-0.008488,-0.008468,-0.007596,-0.008445,-0.008515,-0.000704,0.0000716,0.087988261
0.304071,-0.00817,-0.008648,-0.00592,-0.008767,-0.008829,-0.008853,-0.00876,-0.007207,-0.008537,-0.003224,-0.008848,-0.008716,-0.007784,-0.008812,-0.008805,-0.000937,0.0000661,0.089446466
0.312032,-0.008392,-0.008958,-0.006075,-0.009034,-0.009049,-0.009065,-0.009045,-0.007421,-0.008817,-0.0033,-0.009056,-0.009009,-0.008007,-0.009058,-0.009045,-0.000877,0.0000699,0.095826989
0.320003,-0.008736,-0.009175,-0.006309,-0.009241,-0.009233,-0.009217,-0.009233,-0.007739,-0.009079,-0.003403,-0.009223,-0.009215,-0.008354,-0.009219,-0.009242,-0.000661,0.0000872,0.10989076
0.328057,-0.009166,-0.009659,-0.006565,-0.009721,-0.009722,-0.009693,-0.009685,-0.008068,-0.009565,-0.003525,-0.009718,-0.009705,-0.008732,-0.009675,-0.009719,-0.0006,0.000107,0.1253563
